Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,42.443333,43.466667,42.443333,43.303333,41.223549,2190600
2020-12-02,43.236668,43.333332,42.750000,43.119999,41.049015,1707900
2020-12-03,42.290001,42.346668,41.090000,41.633331,39.784454,5597100
2020-12-04,41.619999,42.333332,41.560001,41.766666,39.911869,2550300
2020-12-07,41.820000,42.986668,41.816666,42.853333,40.950275,5088300
2020-12-08,42.833332,43.066666,42.433334,42.883331,40.978939,1864200
2020-12-09,42.963333,43.220001,41.360001,42.033333,40.166691,2914500
2020-12-10,41.916668,42.119999,41.543331,41.663334,39.813122,2107200
2020-12-11,41.520000,41.990002,41.336666,41.889999,40.029720,1651800
2020-12-14,42.240002,42.700001,41.299999,41.346668,39.510517,1921800
2020-12-15,41.596668,42.790001,41.549999,42.430000,40.545746,2555100
2020-12-16,42.633331,42.770000,42.236668,42.366669,40.485222,3331200
2020-12-17,42.613335,43.156666,42.433334,42.833332,40.931168,3153900
2020-12-18,42.730000,43.213333,42.650002,42.866669,40.963020,5128200
2020-12-21,42.606667,42.856667,41.426666,42.683334,40.787827,3337200
2020-12-22,42.343334,43.459999,42.246666,43.299999,41.377106,3123300
2020-12-23,43.496666,43.580002,42.646667,42.650002,40.755974,1479300
2020-12-24,42.660000,42.913334,42.529999,42.873333,40.969387,575400
2020-12-28,43.026669,43.073334,42.639999,42.950001,41.042648,1376100
2020-12-29,43.216667,43.290001,42.966667,43.046665,41.135021,910800
2020-12-30,43.259998,43.509998,43.153332,43.380001,41.453552,1199100
2020-12-31,43.333332,44.290001,43.160000,44.246666,42.281731,1533900
2021-01-04,44.576668,44.643333,43.566666,44.003334,42.049213,4331400
2021-01-05,44.096668,44.346668,43.846668,43.990002,42.036469,3305400
2021-01-06,44.116669,45.496666,43.973331,45.133331,43.129021,3068400
2021-01-07,44.980000,45.626667,44.889999,45.599998,43.574970,2645100
2021-01-08,45.143333,46.380001,45.143333,46.270000,44.215221,2361300
2021-01-11,46.070000,47.290001,46.000000,46.966667,44.880943,3387600
2021-01-12,46.996666,47.560001,46.953335,47.306667,45.205849,2839500
2021-01-13,47.356667,47.833332,47.333332,47.496666,45.387405,4243500
2021-01-14,47.740002,47.756668,46.930000,47.376667,45.272736,2877300
2021-01-15,47.146667,47.506668,46.459999,46.680000,44.607010,8262600
2021-01-19,47.403332,47.666668,46.746666,47.419998,45.314140,2688600
2021-01-20,47.793331,48.099998,47.166668,47.889999,45.763271,3801000
2021-01-21,48.029999,48.133331,46.816666,47.133331,45.040207,2078100
2021-01-22,47.096668,47.176666,46.406666,46.806667,44.728050,3381000
2021-01-25,46.846668,47.606667,46.573334,47.433334,45.326889,2508300
2021-01-26,47.576668,47.770000,46.830002,47.043331,44.954197,2914500
2021-01-27,46.830002,47.883331,45.849998,47.066666,44.976501,4776300
2021-01-28,47.123333,47.790001,46.320000,46.343334,44.285294,2938200
2021-01-29,46.033333,46.033333,44.736668,45.090000,43.087616,3366900
2021-02-01,45.509998,46.356667,45.166668,46.203335,44.151508,2619900
2021-02-02,46.376667,47.703335,46.203335,47.536667,45.425632,2709300
2021-02-03,47.426666,47.700001,47.006668,47.386665,45.282291,2638200
2021-02-04,47.553333,48.466667,47.430000,47.856667,45.731422,2472300
2021-02-05,47.939999,48.173332,47.316666,47.529999,45.419262,2040300
2021-02-08,47.700001,47.946667,47.306667,47.483334,45.374664,1480200
2021-02-09,47.546665,47.990002,47.336666,47.709999,45.591270,1261800
