Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,113.419998,113.959999,113.099998,113.260002,108.401016,2091600
2021-02-10,113.610001,114.059998,110.550003,111.660004,106.869659,2580500
2021-02-11,112.269997,112.269997,110.110001,111.300003,106.525108,2274800
2021-02-12,111.089996,111.489998,110.309998,111.070000,106.304970,1681500
2021-02-16,112.059998,112.570000,110.669998,112.419998,107.597046,2708600
2021-02-17,112.070000,112.949997,111.199997,112.779999,107.941597,2730200
2021-02-18,112.639999,114.199997,112.290001,113.860001,108.975258,1938200
2021-02-19,114.160004,114.489998,113.029999,113.349998,108.487144,3279700
2021-02-22,112.459999,112.769997,110.650002,111.720001,106.927063,2294600
2021-02-23,111.300003,111.559998,109.099998,111.419998,106.639954,3627300
2021-02-24,111.389999,111.930000,110.089996,111.459999,106.678215,2581400
2021-02-25,110.930000,113.589996,110.930000,112.000000,107.195053,3470600
2021-02-26,112.610001,112.989998,110.139999,110.309998,105.577568,3260400
2021-03-01,111.120003,114.260002,110.980003,113.739998,108.860428,2297900
2021-03-02,113.769997,114.970001,113.080002,113.620003,108.745575,1872400
2021-03-03,113.000000,113.339996,111.540001,111.639999,106.850510,3542600
2021-03-04,111.330002,113.470001,110.019997,111.129997,106.362396,3317600
2021-03-05,112.040001,115.440002,110.599998,114.970001,110.037651,3007500
2021-03-08,115.000000,116.059998,113.610001,113.739998,108.860428,2741100
2021-03-09,114.070000,116.769997,114.010002,114.410004,109.501678,2786600
2021-03-10,115.139999,116.099998,114.629997,115.580002,110.621490,2116600
2021-03-11,115.879997,116.220001,114.889999,115.199997,110.257782,1882500
2021-03-12,115.500000,115.769997,114.750000,115.320000,110.372635,1485300
2021-03-15,115.370003,116.000000,114.620003,115.660004,110.698044,1756500
2021-03-16,115.690002,116.080002,114.389999,114.660004,110.054970,1436700
2021-03-17,115.239998,115.239998,113.379997,113.699997,109.133514,2027400
2021-03-18,113.570000,113.680000,111.559998,111.639999,107.156250,2876100
2021-03-19,111.440002,112.519997,110.800003,111.199997,106.733910,3531400
2021-03-22,110.870003,112.190002,110.230003,111.550003,107.069870,1782900
