Date,Dividends
2021-03-09,0.900000
2021-06-09,0.900000
2021-09-09,0.900000
2021-12-09,0.900000
2021-12-27,3.250000
2022-03-09,1.000000
2022-06-09,1.000000
2022-09-08,1.000000
2022-12-08,1.000000
2022-12-27,4.500000
2023-03-09,1.100000
2023-06-08,1.100000
2023-09-07,1.100000
2023-12-07,1.100000
2023-12-27,5.250000
